verb_id,verb,form_id,form,person_id,person,conjugation_id,hypothetical_regular_conjugation,conjugation,example_sentence_gpt4-1,example_sentence_gpt4-1-mini,gpt_4_1_conjugation_with_verification,gpt_4_1_sentence_with_verification,attempts_count,failure_counts
1,ser,0,infinitivo,0,not_applicable,1_0_0,ser,,,,,,,
1,ser,1,gerundio,0,not_applicable,1_1_0,siendo,,,,,,,
1,ser,2,participio,0,not_applicable,1_2_0,sido,,,,,,,
1,ser,3,indicativo_presente,11,1st_singular,1_3_11,so,,,,,,,
1,ser,3,indicativo_presente,21,2nd_singular,1_3_21,ses,,,,,,,
1,ser,3,indicativo_presente,31,3rd_singular,1_3_31,se,,,,,,,
1,ser,3,indicativo_presente,12,1st_plural,1_3_12,semos,,,,,,,
1,ser,3,indicativo_presente,22,2nd_plural,1_3_22,séis,,,,,,,
1,ser,3,indicativo_presente,32,3rd_plural,1_3_32,sen,,,,,,,
1,ser,4,indicativo_preterito,11,1st_singular,1_4_11,sí,,,,,,,
1,ser,4,indicativo_preterito,21,2nd_singular,1_4_21,siste,,,,,,,
1,ser,4,indicativo_preterito,31,3rd_singular,1_4_31,sió,,,,,,,
1,ser,4,indicativo_preterito,12,1st_plural,1_4_12,simos,,,,,,,
1,ser,4,indicativo_preterito,22,2nd_plural,1_4_22,sisteis,,,,,,,
1,ser,4,indicativo_preterito,32,3rd_plural,1_4_32,sieron,,,,,,,
1,ser,5,indicativo_imperfecto,11,1st_singular,1_5_11,sía,,,,,,,
1,ser,5,indicativo_imperfecto,21,2nd_singular,1_5_21,sías,,,,,,,
1,ser,5,indicativo_imperfecto,31,3rd_singular,1_5_31,sía,,,,,,,
1,ser,5,indicativo_imperfecto,12,1st_plural,1_5_12,síamos,,,,,,,
1,ser,5,indicativo_imperfecto,22,2nd_plural,1_5_22,síais,,,,,,,
1,ser,5,indicativo_imperfecto,32,3rd_plural,1_5_32,sían,,,,,,,
1,ser,6,indicativo_futuro,11,1st_singular,1_6_11,seré,,,,,,,
1,ser,6,indicativo_futuro,21,2nd_singular,1_6_21,serás,,,,,,,
1,ser,6,indicativo_futuro,31,3rd_singular,1_6_31,será,,,,,,,
1,ser,6,indicativo_futuro,12,1st_plural,1_6_12,seremos,,,,,,,
1,ser,6,indicativo_futuro,22,2nd_plural,1_6_22,seréis,,,,,,,
1,ser,6,indicativo_futuro,32,3rd_plural,1_6_32,serán,,,,,,,
